Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.g,DietBreadth,HabitatBreadth,HomeRange.Indiv.km2,InterbirthInterval.d,LitterSize,MaxLongevity.m,PopulationDensity.n.km2,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.mm,Temp.Mean.01degC
Acinonyx jubatus,Negative,Negative,1,0,45.04,5.07,67.16,3,50577.92,1,1,94.38,547.5,3.28,228,0.01,741.97,91.42,10586306.53,4.24,22.95,19.88,51.26,230.83
Ailuropoda melanoleuca,Negative,Negative,1,0,-32.79,-1.30,0.05,2,117999.99,3,1,3.76,638.75,1.62,360,0.18,2413.02,178.98,36206.89,30.76,104.78,103.55,101.81,65.51
Ailurus fulgens,Negative,Negative,1,0,-46.13,-12.38,-0.15,2,5170.08,3,1,1.52,365,1.7,168,NA,604.05,136.87,1075406.59,28.38,94.38,51.8,131.93,44.73
Aonyx capensis,Negative,Negative,0,0,-56.50,-20.96,-0.31,2,19322.22,6,2,119.27,NA,2.62,132,0.35,371.23,NA,14162350.57,-8.89,12.27,39.28,100.07,233.07
Aonyx cinerea,Negative,Negative,0,1,-56.50,-20.96,-0.31,1,3527.59,2,2,NA,182.5,1.47,121,NA,NA,79.54,3673360.97,11.3,98.3,216.27,173.12,226.57
Arctictis binturong,Negative,Negative,0,0,59.14,-16.57,-24.53,1,12999.99,3,1,NA,317.6,2.5,272.4,NA,1034.61,117.57,2913838.88,9.84,104.16,124.73,194.92,229.94
Arctocephalus australis,Negative,Negative,1,1,-42.10,-5.27,0.03,1,67979.43,6,2,NA,365,1,252,NA,1729.33,365,NA,NA,NA,NA,NA,NA
Arctocephalus forsteri,Negative,Negative,1,1,-42.10,-5.27,0.03,1,101249.99,6,2,NA,365,1,180,NA,2668.42,323.72,NA,NA,NA,NA,NA,NA
Arctocephalus galapagoensis,Negative,Negative,1,1,-42.10,-5.27,0.03,1,39448.04,6,2,NA,730,1,264,NA,1683.65,821.25,NA,NA,NA,NA,NA,NA
Arctocephalus gazella,Negative,Negative,1,1,-42.10,-5.27,0.03,1,96599.99,1,2,NA,365,1,276,22,1691.66,116.28,NA,NA,NA,NA,NA,NA
Arctocephalus philippii,Negative,Negative,1,1,-42.10,-5.27,0.03,NA,94999.99,6,2,NA,365,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocephalus pusillus,Negative,Negative,1,1,-42.09,-5.27,0.03,1,178500,1,2,NA,365,1,252,NA,1698.17,356.3,NA,NA,NA,NA,NA,NA
Arctocephalus townsendi,Negative,Negative,1,1,-42.10,-5.27,0.03,NA,101063.71,1,2,NA,365,1,288,NA,NA,328.13,NA,NA,NA,NA,NA,NA
Arctocephalus tropicalis,Negative,Negative,1,1,-42.10,-5.27,0.03,NA,92222.55,6,2,NA,365,1.4,276,NA,1538.68,304.16,NA,NA,NA,NA,NA,NA
Arctogalidia trivirgata,Negative,Negative,NA,0,58.95,-16.45,-24.31,1,2323.79,6,1,NA,182.5,2.79,190,NA,841.82,49.41,2766097.4,10.9,105.38,97.79,199.26,232.1
Arctonyx collaris,Negative,Negative,NA,0,-55.41,-20.04,-0.29,1,8166.52,6,1,NA,NA,3,167,NA,NA,165.64,4519063.86,16.92,107.06,250.46,124.48,169.67
Atelocynus microtis,Negative,Negative,NA,0,-6.83,85.22,-17.36,NA,8363.22,1,1,NA,NA,NA,132,NA,NA,NA,7634256.6,-13.76,-61.08,7.43,163.06,235.49
Atilax paludinosus,Negative,Positive,NA,NA,62.12,-18.71,-28.77,2,3600.16,6,2,1.62,182.5,2,209,NA,234.83,35.89,14296320.45,-8.88,12.52,37.15,99.93,233.39
Bassaricyon alleni,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467192.71,-7.01,-71.69,2.2,208.81,258.1
Bassaricyon beddardi,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,1,1235.01,NA,1,NA,NA,NA,NA,NA,NA,NA,441326.32,2.85,-64.01,0.69,186.26,239.89
Bassaricyon gabbii,Negative,Negative,1,0,-50.04,-15.39,-0.20,1,1250,6,2,NA,NA,1,300,6.02,607.2,89.49,803202.18,5.08,-77.78,46.86,176.37,230.94
Bassaricyon lasius,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,1,1200,NA,1,NA,NA,NA,NA,NA,NA,NA,3842.65,10.06,-83.83,196.05,238.21,218.22
Bassaricyon pauli,Negative,Negative,NA,NA,-50.04,-15.39,-0.20,1,1200,NA,1,NA,NA,NA,NA,NA,NA,NA,1402.79,8.86,-82.87,29.67,233,295.37
Bassariscus astutus,Negative,Negative,NA,0,-50.08,-15.41,-0.20,1,1010.37,6,1,0.78,365,3,198,3.58,278.08,53.84,3916072.44,29.65,-107.94,37.3,45.32,153.99
Bassariscus sumichrasti,Negative,Negative,NA,0,-50.08,-15.41,-0.20,1,906,6,1,NA,NA,2,276,17.89,841.82,119.32,625977.74,15.06,-91.5,60.47,134.37,230.31
Bdeogale crassicauda,Negative,Negative,NA,0,62.20,-18.77,-28.88,1,1722.13,1,1,NA,NA,0.96,NA,NA,NA,NA,1654322.83,-11.01,33.53,38.56,82.89,229.26
Bdeogale jacksoni,Negative,Negative,NA,0,62.20,-18.77,-28.88,NA,2500,2,1,NA,NA,NA,NA,NA,NA,NA,81428.64,0.25,36.16,188.08,80.08,196.41
Bdeogale nigripes,Negative,Negative,NA,0,62.20,-18.77,-28.88,1,2623.01,6,1,NA,NA,1,190,NA,NA,NA,3117248.8,0.73,19.61,21.16,145.53,242.16
Callorhinus ursinus,Negative,Negative,1,1,-42.02,-5.25,0.03,2,55464.82,6,2,NA,365,1.04,420,18,1683.65,108.69,NA,NA,NA,NA,NA,NA
Canis adustus,Positive,Positive,0,1,-6.82,85.01,-17.31,1,10392.49,6,1,1.01,NA,4.5,137,0.74,249.88,52.89,10581413.14,-6,13,35.2,90.75,236.51
Canis aureus,Positive,Positive,0,1,-6.82,85.13,-17.34,2,9658.7,6,1,3.13,365,3.74,192,0.22,371.23,61.3,25739527.43,21.14,45.74,79.29,44.61,217.23
Canis latrans,Positive,Positive,0,1,-6.82,85.13,-17.34,2,11989.1,1,1,19.91,365,5.72,262,0.25,372.9,43.71,17099094.3,39.7,-117.6,27.27,53.03,58.18
Canis lupus,Positive,Positive,0,1,-6.82,85.13,-17.34,2,31756.51,1,1,43.13,365,4.98,354,0.01,679.37,44.82,50803439.7,47.38,3.9,37.87,34.79,4.82
Canis mesomelas,Positive,Positive,0,1,-6.82,85.01,-17.31,2,8247.3,6,1,12.82,273.75,3.89,168,0.74,241.4,34.1,6248779.95,-9.18,31.56,30.81,49.27,213.33
Canis simensis,Negative,Negative,0,1,-6.82,85.12,-17.34,3,14361.86,1,1,5.02,365,NA,NA,1.2,754.74,69.6,11402.81,9.93,38.99,99.87,83.87,99.03
Caracal caracal,Negative,Negative,1,0,44.74,5.00,65.92,1,11964.38,1,1,275.76,365,2.3,204,NA,437.27,120.41,26609096.78,5.5,31.75,39.44,40.03,221.57
Catopuma badia,Negative,Negative,NA,0,44.91,5.04,66.65,NA,3429.52,NA,1,NA,NA,NA,NA,NA,NA,NA,261512.24,2.84,115.07,12.38,278.55,227.89
Catopuma temminckii,Negative,Negative,NA,0,44.91,5.04,66.65,NA,7726.46,1,1,NA,NA,1.5,216,NA,NA,NA,3437288.13,11.88,104.15,147.92,156.56,197.24
Cerdocyon thous,Positive,Positive,0,1,-6.83,85.21,-17.36,1,5741.66,7,1,1.49,243.33,3.09,138,3.54,279.15,72.33,7091683.41,-11.22,-55.68,35.64,118.7,229.96
Chrotogale owstoni,Negative,Negative,NA,0,59.14,-16.57,-24.52,2,3267.71,6,1,NA,NA,NA,NA,NA,NA,NA,27879.9,22.03,105.03,297.26,136.85,183.06
Chrysocyon brachyurus,Negative,Negative,0,0,-6.82,84.98,-17.30,2,23325,6,1,22.62,NA,2,180,NA,420.91,119,5038801.01,-17.32,-52.48,23.01,110.24,223.49
Civettictis civetta,Negative,Negative,NA,0,58.97,-16.46,-24.32,1,12075.58,6,1,NA,212.14,2.31,336,NA,286.24,82.91,14207678.6,-6.02,13.26,36.77,101.3,237.14
Conepatus chinga,Negative,Negative,1,0,-47.10,-12.87,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3247304.52,-24.6,-66.13,25.6,65.02,133.91
Conepatus humboldtii,Negative,Negative,NA,0,-47.10,-12.87,-0.16,1,1097.61,1,2,0.11,NA,3.49,NA,NA,NA,NA,709172.73,-45.97,-68.78,3.02,30.56,80.76
Conepatus leuconotus,Negative,Negative,1,0,-47.10,-12.87,-0.16,1,3293.91,1,1,NA,182.5,3.6,84,NA,340.6,45.56,2509559.21,26,-99.88,43.68,56.58,180.72
Conepatus semistriatus,Negative,Negative,1,0,-47.10,-12.87,-0.16,1,1997.34,6,2,0.25,NA,3.49,NA,9.52,NA,NA,2032658.27,4.29,-66.03,65.25,130.15,243.25
Crocuta crocuta,Negative,Positive,1,1,58.63,-16.33,-24.16,1,63369.98,1,1,53.84,441.04,1.91,493.2,0.12,789.54,371.37,14790149.69,-5.14,16.93,33.56,78.32,238.46
Crossarchus alexandri,Negative,Negative,NA,NA,62.27,-18.82,-28.97,NA,1503.4,NA,1,NA,NA,4,NA,NA,NA,NA,1464819.63,-0.31,25.63,21.39,143.64,240.89
Crossarchus ansorgei,Negative,Negative,0,1,62.27,-18.82,-28.97,3,700,6,1,NA,NA,NA,NA,NA,NA,NA,604251.42,-3.67,20.06,9.34,154.3,250.03
Crossarchus obscurus,Negative,Negative,NA,1,62.27,-18.82,-28.97,3,1395.09,6,1,NA,121.66,4.29,108,NA,278.42,29.23,438210.83,6.82,-6.63,72.53,175.02,256.38
Cryptoprocta ferox,Negative,Negative,NA,0,60.40,-17.54,-26.50,2,9500,2,3,0.9,NA,2.98,240,0.88,1262.74,136.1,214312.12,-18.96,46.85,24.1,125.27,221.98
Cuon alpinus,Negative,Negative,0,1,-6.82,85.12,-17.34,2,15800,1,1,39.99,365,4.3,192,0.55,374.18,57.33,10546280.1,23.37,106.52,145,95.28,96.48
Cynictis penicillata,Positive,Positive,NA,1,62.19,-18.77,-28.87,3,694.41,1,1,2,365,2.15,182.4,NA,350.57,41.76,2233627.48,-25.71,22.04,15.27,33.29,184.21
Cynogale bennettii,Negative,Negative,NA,NA,59.12,-16.56,-24.51,2,4246.57,6,2,NA,NA,2.3,60,NA,NA,NA,170977.09,1.05,108.08,60.48,235.45,254.4
Cystophora cristata,Negative,Negative,1,0,-41.98,-5.24,0.03,NA,278896.81,6,2,NA,365,1,420,4.82E-03,1262.74,9.5,NA,NA,NA,NA,NA,NA
Diplogale hosei,Negative,Negative,NA,NA,59.14,-16.57,-24.53,1,NA,6,1,NA,NA,NA,NA,NA,NA,NA,14471.88,5.41,116.42,34.39,257.68,231.32
Dologale dybowskii,Negative,Negative,NA,0,62.26,-18.82,-28.96,NA,361.92,NA,1,NA,NA,4,NA,NA,NA,NA,433013.15,2.78,28.71,39.34,124.43,234.33
Dusicyon australis,Negative,Negative,0,1,-6.83,85.24,-17.37,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eira barbara,Negative,Negative,NA,0,-55.93,-20.48,-0.30,2,4134.99,2,2,10.7,NA,2.14,216,1.77,766.15,94.46,13411787.9,-4.49,-72.54,28.16,149.9,235.82
Enhydra lutris,Negative,Negative,1,1,-56.41,-20.88,-0.31,3,27410.93,6,1,3.63,365,0.96,360,6.46,1022.33,178.98,NA,NA,NA,NA,NA,NA
Erignathus barbatus,Negative,Negative,1,0,-41.90,-5.21,0.03,NA,279999.99,6,2,NA,547.5,1,377.43,0.01,2199.16,20.94,NA,NA,NA,NA,NA,NA
Eumetopias jubatus,Negative,Negative,1,1,-42.08,-5.27,0.03,1,382466.74,6,2,NA,365,0.96,360,NA,1965.83,351,NA,NA,NA,NA,NA,NA
Eupleres goudotii,Negative,Negative,NA,0,60.49,-17.60,-26.61,2,2763.34,6,1,NA,NA,1,NA,NA,NA,62.99,111808.26,-18.76,47.44,33.45,163.67,207.15
Felis bieti,Negative,Negative,1,0,45.10,5.09,67.42,NA,5486.95,NA,1,NA,NA,NA,NA,NA,NA,NA,383107.61,37.08,100.3,33.45,30.11,-4.92
Felis catus,Negative,Negative,1,1,45.10,5.09,67.41,NA,2884.8,NA,NA,1.52,NA,NA,408,3.47,296.98,NA,NA,NA,NA,NA,NA,NA
Felis chaus,Negative,Negative,1,0,45.09,5.09,67.39,2,7157.99,1,1,NA,130.01,2.94,144,NA,383.18,95.49,8986835.66,26.78,68.28,178.67,74.24,201.07
Felis manul,Negative,Negative,1,0,45.01,5.07,67.06,1,3050,1,1,NA,NA,4.83,NA,NA,NA,NA,8390117.08,40.56,84.32,21.03,29.96,7.27
Felis margarita,Negative,Negative,NA,NA,45.09,5.09,67.41,1,2823.36,1,1,NA,197.7,4.12,NA,NA,NA,NA,12141993.7,30.41,26.61,10.35,7.48,223.87
Felis nigripes,Negative,Negative,1,0,45.09,5.09,67.39,2,1362.77,1,1,NA,228.12,1.78,144,NA,284.58,67.23,1732323.73,-24.65,22.29,8.32,30.61,186.65
Felis silvestris,Negative,Negative,1,0,45.10,5.09,67.42,2,4573.08,1,1,1.36,148.25,3.59,336,0.36,350.76,76.01,32110980.01,8.59,47.3,43.43,46.98,192.78
Fossa fossana,Negative,Negative,0,0,60.49,-17.60,-26.61,1,1853.98,6,2,0.9,365,1,132,3.41,533.97,66.84,106522.05,-18.81,48.5,37.33,168.03,202.81
Galerella flavescens,Negative,Negative,NA,NA,62.16,-18.75,-28.83,NA,750,NA,1,NA,NA,NA,NA,NA,NA,NA,279748.74,-17.71,14.25,4.05,36.5,181.27
Galerella ochracea,Negative,Negative,NA,NA,62.16,-18.75,-28.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452479.81,4.71,45.71,14.41,23.4,259.65
Galerella pulverulenta,Negative,Negative,NA,0,62.16,-18.74,-28.82,3,791.4,2,1,4.03,NA,2.25,104.5,10,NA,NA,634570.78,-30.16,23.18,24.97,28.26,158.01
Galerella sanguinea,Positive,Positive,1,0,62.16,-18.74,-28.82,3,543.83,6,1,0.79,182.5,2.5,72,1.32,465.57,54.44,16368169.48,-7.06,16.93,33.39,84.92,233.27
Galictis cuja,Negative,Negative,1,1,-56.41,-20.88,-0.31,2,1000,1,1,NA,NA,NA,87,NA,NA,NA,4564918.07,-29.01,-58.14,34.44,76.07,152.93
Galictis vittata,Negative,Negative,0,1,-56.41,-20.88,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10078448.48,3.5,-66.73,18.86,159.64,247.98
Galidia elegans,Negative,Negative,NA,1,60.60,-17.67,-26.76,2,810,6,4,0.2,365,1,158.4,15.85,742.46,59.27,120561.29,-18.76,47.19,28.71,154.88,212
Galidictis fasciata,Negative,Negative,0,0,60.62,-17.69,-26.78,2,549.99,2,1,NA,365,1,NA,NA,NA,NA,87237.59,-19.6,48.5,33.5,178.59,197.78
Galidictis grandidieri,Negative,Negative,0,1,60.62,-17.69,-26.78,2,1400,2,1,NA,365,1,NA,NA,NA,NA,4044.38,-24.29,43.96,13,43.21,241.82
Genetta abyssinica,Negative,Negative,NA,NA,59.73,-16.96,-25.25,NA,1405.48,NA,1,NA,NA,NA,NA,NA,NA,NA,418638.21,12.72,40.62,55.58,61.18,232.59
Genetta angolensis,Negative,Negative,NA,NA,59.88,-17.05,-25.42,1,1859.64,NA,1,NA,NA,NA,NA,NA,NA,NA,2087717.97,-9.97,26.29,19.81,94.05,216.39
Genetta cristata,Negative,Negative,NA,NA,59.86,-17.04,-25.40,1,1863.23,2,NA,NA,NA,2.5,408,NA,NA,NA,210874.67,5.47,9.98,113.75,179.62,241.95
Genetta genetta,Negative,Negative,NA,0,59.86,-17.04,-25.40,1,1756.17,6,1,11.54,182.5,2.29,408,1.88,1262.74,71.8,17766920.65,7.53,16.93,39.75,53.49,228.99
Genetta johnstoni,Negative,Negative,NA,NA,59.80,-17.00,-25.33,NA,2225,NA,1,NA,NA,NA,NA,NA,NA,NA,180606.44,6.86,-8.95,35.89,219.22,246.68
Genetta maculata,Negative,Negative,NA,NA,59.88,-17.05,-25.42,1,1950,6,1,NA,NA,2.12,NA,NA,NA,NA,12805950.62,-5.9,23.09,34.65,96.79,233.19
Genetta pardina,Negative,Negative,NA,NA,59.88,-17.05,-25.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125427.08,8.96,-8.07,50.48,146.26,262.43
Genetta piscivora,Negative,Negative,NA,0,59.86,-17.04,-25.41,1,1648.05,1,2,NA,NA,0.96,NA,NA,NA,NA,222754.63,0.61,24.78,18.8,144.85,236.26
Genetta servalina,Negative,Negative,NA,NA,59.86,-17.04,-25.41,1,1175.84,6,1,NA,NA,1.5,NA,NA,NA,NA,3667035.54,-1.88,24.13,30.75,133.53,236.65
Genetta thierryi,Negative,Negative,NA,NA,59.73,-16.96,-25.25,NA,1400,NA,1,NA,NA,NA,NA,NA,NA,NA,2289307.11,11.31,-1.18,73.19,108.6,265.67
Genetta tigrina,Negative,Negative,NA,0,59.87,-17.05,-25.42,1,2066.57,6,1,0.04,304.16,2.76,180,NA,841.82,87.77,587510.9,-28.48,25.37,61.1,54.32,170.06
Genetta victoriae,Negative,Negative,NA,NA,59.76,-16.97,-25.28,NA,2743.69,NA,1,NA,NA,NA,NA,NA,NA,NA,657455.4,0.24,23.91,25.47,140.08,234.39
Gulo gulo,Negative,Negative,1,0,-55.94,-20.49,-0.30,1,12792.49,1,1,363.58,821.25,2.84,216,7.92E-03,756.6,83.64,24495951.71,60.67,5.93,3.75,32.21,-72.05
Halichoerus grypus,Negative,Negative,1,1,-42.02,-5.25,0.03,NA,197570.01,2,2,NA,365,0.96,560.07,NA,1770.72,18.37,NA,NA,NA,NA,NA,NA
Helarctos malayanus,Negative,Negative,NA,0,-32.93,-1.32,0.05,1,57075.78,3,1,NA,NA,1.1,297.6,NA,NA,90.36,2525372.13,9.67,108.18,97.72,200.18,243.88
Helogale hirtula,Negative,Negative,0,1,62.26,-18.82,-28.96,3,484.63,1,1,NA,NA,NA,NA,NA,NA,NA,1080149.67,1.75,42.13,23.39,41.92,242
Helogale parvula,Negative,Negative,0,1,62.26,-18.82,-28.96,3,281.83,1,1,0.28,141.94,3.49,131,NA,423.04,21,6944753.53,-7.04,31.73,30.49,71.37,222.44
Hemigalus derbyanus,Negative,Negative,NA,0,59.14,-16.57,-24.53,1,1262.7,6,1,NA,NA,1.73,144,NA,NA,69.6,1431386.4,4.74,107.22,70.76,245.18,248.86
Herpestes brachyurus,Negative,Negative,NA,NA,62.12,-18.72,-28.78,1,1396.16,1,1,NA,NA,3.49,NA,NA,NA,NA,1313618.8,3.19,107.76,65.98,243.65,248.41
Herpestes edwardsi,Negative,Negative,NA,1,62.17,-18.75,-28.85,3,1304.67,6,1,NA,109.5,2,NA,NA,311.36,34.8,3629768.58,19.99,69.16,313.35,80.62,242.34
Herpestes fuscus,Negative,Negative,NA,NA,62.17,-18.75,-28.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91597.58,10.17,78.62,332.93,132.76,255.19
Herpestes ichneumon,Negative,Negative,NA,NA,62.15,-18.74,-28.82,2,2980.02,6,1,2.05,365,3,240,NA,729.99,58.09,14429050.1,2.37,14.68,50.25,80.56,232.14
Herpestes javanicus,Positive,Positive,NA,1,62.17,-18.75,-28.85,3,750,6,1,0.26,152.08,2.21,120,39.59,166.84,43.59,6880297.87,14.29,78.4,188.18,96.01,208.18
Herpestes naso,Negative,Negative,NA,NA,62.13,-18.72,-28.78,1,3002.08,1,1,0.38,NA,NA,NA,NA,NA,NA,2499072.82,-2.46,17.58,22.84,147.65,242.71
Herpestes semitorquatus,Negative,Negative,NA,NA,62.17,-18.75,-28.85,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,209629.86,0.32,109.16,41.72,273.83,241.51
Herpestes smithii,Negative,Negative,NA,NA,62.17,-18.75,-28.85,1,1702.5,6,1,NA,NA,2.5,NA,NA,NA,NA,1629561.03,15.21,80.19,321.15,99.82,258.68
Herpestes urva,Negative,Negative,NA,NA,62.12,-18.72,-28.78,1,2384.19,6,1,NA,NA,3,160,NA,NA,NA,3243514.37,17.26,103.99,222.81,144.94,194.75
Herpestes vitticollis,Negative,Negative,NA,NA,62.13,-18.72,-28.78,2,2380,NA,1,NA,NA,2.73,NA,NA,NA,NA,197229,10.47,78.28,377.61,129.65,258.43
Histriophoca fasciata,Negative,Negative,1,1,-42.00,-5.24,0.03,NA,90000,6,2,NA,365,1,372,NA,1262.74,24.5,NA,NA,NA,NA,NA,NA
Hyaena brunnea,Negative,Negative,1,1,58.63,-16.33,-24.16,1,42977.93,6,2,23.38,532.29,2.3,204,0.01,807.23,302.44,1981470.71,-24.3,22.39,12.77,34.35,186.6
Hyaena hyaena,Negative,Negative,NA,1,58.63,-16.33,-24.16,2,35070.51,6,1,47.87,237.25,2.44,288,NA,928.08,118.93,24254343.2,16.93,34.64,56.87,29.52,228.97
Hydrictis maculicollis,Negative,Negative,NA,0,-56.49,-20.95,-0.31,2,4180.53,1,2,NA,365,2,NA,NA,841.82,60.48,11363947.46,-8.13,13.37,37.8,106.5,237.71
Hydrurga leptonyx,Negative,Negative,1,0,-41.95,-5.23,0.03,2,352675.48,6,2,NA,365,0.96,312,0.11,1389.01,30.41,NA,NA,NA,NA,NA,NA
Ichneumia albicauda,Negative,Negative,1,0,62.15,-18.74,-28.82,1,3628.4,1,1,0.64,NA,2.35,144,3.7,754.74,NA,14326821.09,-3.69,21.15,35.94,73.59,237.16
Ictonyx libyca,Negative,Negative,NA,NA,-56.40,-20.87,-0.31,1,225.18,6,1,NA,NA,2,60,NA,NA,NA,12285728.6,23.09,10.19,20.3,15.87,244.56
Ictonyx striatus,Negative,Negative,1,0,-56.19,-20.70,-0.30,1,811.02,6,1,NA,365,2.3,160,NA,447.7,59.09,16688705.64,-6.1,15.42,28.73,63.09,235.22
Leopardus braccatus,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935418.44,-24.26,-54.78,17.31,114.18,212.99
Leopardus colocolo,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180642.4,-25.46,-69.95,46.92,25.86,12.4
Leopardus geoffroyi,Negative,Negative,NA,0,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3653843.2,-33.21,-61.27,11.82,68.4,157.23
Leopardus guigna,Negative,Negative,NA,0,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190039.77,-39.4,-72.53,47.1,102.85,83.63
Leopardus jacobitus,Negative,Negative,NA,0,45.07,5.08,67.31,NA,8133.78,1,1,NA,NA,NA,NA,NA,NA,NA,931676.41,-20.56,-69.36,15.71,80.94,95.75
Leopardus pajeros,Negative,Negative,NA,NA,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2316055.55,-26.41,-70.23,8.82,79.39,135.8
Leopardus pardalis,Negative,Negative,1,0,45.08,5.08,67.34,2,11880,1,1,5.38,360.9,1.66,243.6,0.42,678.64,106.18,16040024.42,-0.41,-74.28,26.95,137.68,228.69
Leopardus tigrinus,Negative,Negative,NA,0,45.08,5.09,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11884529.12,-9.35,-59.58,25.54,146.19,238.17
Leopardus wiedii,Negative,Negative,NA,0,45.08,5.08,67.34,2,3270.81,1,2,8.01,NA,1.5,240,NA,1052.28,93.4,12404067.35,-3.38,-74.15,24.7,153.31,237.03
Leptailurus serval,Negative,Negative,1,0,44.74,5.00,65.89,2,11999.96,1,1,1.95,182.5,2.35,276,NA,887.95,104.68,12526196.74,1.48,15.05,36.32,89.07,235.57
Leptonychotes weddellii,Negative,Negative,1,0,-41.95,-5.23,0.03,2,400000,6,2,NA,365,1,300,0.12,1587.55,43.35,NA,NA,NA,NA,NA,NA
Liberiictis kuhni,Negative,Negative,NA,1,62.25,-18.80,-28.94,3,1825.47,6,1,NA,NA,NA,NA,NA,NA,NA,125428.68,6.42,-9.34,33.18,240.02,244.82
Lobodon carcinophaga,Negative,Negative,0,0,-41.95,-5.23,0.03,2,224999.99,1,2,NA,547.5,0.96,468,1.01,1522.5,31.32,NA,NA,NA,NA,NA,NA
Lontra canadensis,Negative,Negative,1,0,-56.50,-20.96,-0.31,2,8087.42,1,2,16.95,365,2.67,300,1.12,729.99,121.66,11887021.15,47.6,-110.38,19.38,55.55,10.63
Lontra felina,Negative,Negative,0,0,-56.50,-20.96,-0.31,3,11195.36,2,2,NA,365,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lontra longicaudis,Negative,Negative,1,0,-56.50,-20.96,-0.31,2,6554.97,2,3,NA,NA,3.69,NA,NA,NA,NA,12885820.36,-6,-72.98,24.64,148.59,235.06
Lontra provocax,Negative,Negative,1,1,-56.50,-20.96,-0.31,NA,7499.98,2,2,NA,NA,NA,NA,NA,NA,NA,804793.49,-47.02,-69.24,3.79,53.46,75.3
Lutra lutra,Negative,Negative,NA,0,-56.50,-20.96,-0.31,1,8868.69,1,2,25.48,365,2.01,264,0.85,700.76,100.8,25877469.45,27.69,72.5,102.46,56.63,50.26
Lutra nippon,Negative,Negative,NA,NA,-56.50,-20.96,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305747.47,39.47,138.34,323.22,125.1,83.36
Lutra sumatrana,Negative,Negative,NA,NA,-56.50,-20.96,-0.31,NA,5970.68,1,2,NA,NA,NA,NA,NA,NA,NA,1333065.92,2.88,107.22,181.06,228.88,249.18
Lutrogale perspicillata,Negative,Negative,0,1,-56.50,-20.96,-0.31,NA,8912.49,2,2,6.35,NA,3.24,180,4.42,943.94,72.53,5506788.05,11.88,82.79,236.22,154.44,247.08
