Species,conservative,liberal,PCO1,PCO2,PCO3,PCO4,DietBreadth,AdultBodyMass_g,AdultForearmLen_mm,HabitatBreadth,LitterSize,GR_Area_km2,GR_MidRangeLat_dd,HuPopDen_Mean_n/km2,Precip_Mean_mm,Temp_Mean_01degC
Mimon cozumelae,Negative,Negative,NA,NA,NA,NA,NA,NA,65.2,NA,0.98,812740.52,12.47,57.85,170.19,235.51
Mimon crenulatum,Negative,Negative,-0.849341065,-0.504044635,-0.019952018,0.017718086,2,13.91,48.84,1,0.99,10073417.99,2.36,19.59,163.06,244.41
Mimon koepckeae,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,113389.51,-10.99,17.57,115.61,171.04
Molossops aequatorianus,Negative,Negative,NA,NA,NA,NA,1,NA,36.5,1,NA,130439.11,-1.05,72.68,148.35,199.96
Molossops mattogrossensis,Negative,Negative,NA,NA,NA,NA,1,7.48,28.49,1,NA,5565787.46,-3.12,12.28,149.77,247.97
Molossops neglectus,Negative,Negative,NA,NA,NA,NA,1,NA,35.49,1,NA,8086531.07,-10.23,5.68,160.35,241.08
Molossops temminckii,Negative,Negative,NA,NA,NA,NA,1,5.86,28.49,1,0.98,7264791.36,-15.27,25.92,120.67,219.38
Molossus aztecus,Negative,Negative,NA,NA,NA,NA,NA,14.86,NA,NA,NA,382245.88,16.04,101,110.37,208.13
Molossus barnesi,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,3843.41,4.99,9,303.4,246.59
Molossus coibensis,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,4795656.58,-0.47,15.83,181.94,245.07
Molossus currentium,Negative,Negative,NA,NA,NA,NA,NA,17.79,41,1,0.99,1346846.01,3.75,61.82,140.76,238.26
Molossus molossus,Positive,Positive,0.015433293,0.171729258,0.072971115,0.603296995,1,13.7,38.22,1,0.99,16538107.62,-5.16,32.82,137.03,226.13
Molossus pretiosus,Negative,Negative,NA,NA,NA,NA,NA,98,45.5,1,0.98,2510175.15,8.35,45.5,162.95,237.33
Molossus rufus,Negative,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,15178757.42,-1.59,28.52,143.15,234.08
Molossus sinaloae,Negative,Negative,NA,NA,NA,NA,1,21.09,47.06,1,1.03,2026991.98,12.5,66.5,139.93,231.25
Monophyllus plethodon,Negative,Negative,-0.713314785,-0.383507143,-0.029905281,0.604220146,NA,15.33,43.54,1,0.99,4183.11,15.66,393.2,NA,NA
Monophyllus redmani,Negative,Negative,-0.714043406,-0.384145117,-0.029844093,0.585834779,3,8.79,39.43,1,0.99,203276.18,20.39,162.3,106.77,245.98
Mormoops blainvillei,Negative,Negative,-0.409916114,-0.080717965,0.006135183,0.700499518,1,8.69,46.5,1,NA,202317.84,20.39,171.29,106.77,245.98
Mormoops megalophylla,Negative,Negative,-0.415650432,-0.084737562,0.008298035,0.711407763,1,16.09,54.99,1,0.99,3624939.01,13.01,51.06,85.54,211.38
Musonycteris harrisoni,Negative,Negative,NA,NA,NA,NA,NA,NA,41.49,1,NA,66456.72,18.3,44.7,101.03,220.08
Myotis aelleni,Negative,Negative,NA,NA,NA,NA,NA,NA,39.5,1,NA,23827.25,-41.78,3.86,54.47,57.28
Myotis albescens,Negative,Positive,0.718759361,-0.207029762,-0.032885,-0.107612919,NA,5.69,35.99,1,0.98,14769379.45,-9.59,25.67,145.37,232.23
Myotis atacamensis,Negative,Negative,0.677649678,-0.18878291,-0.034590978,-0.078355094,NA,NA,NA,NA,NA,469816.74,-22.43,9.7,12.15,25.18
Myotis auriculus,Negative,Negative,0.657345661,-0.179717413,-0.035239938,-0.10234828,1,38.04,38,1,1,619854.71,27.58,20.29,38.01,166.15
Myotis austroriparius,Positive,Positive,0.684439966,-0.191795434,-0.034303023,-0.06278831,NA,7.35,38,1,1.88,873318.39,33.14,43.91,102.72,178.18
Myotis californicus,Positive,Positive,0.658622654,-0.180276919,-0.035141013,-0.103527689,1,4.39,33.14,1,0.99,3994128.1,36.02,35.18,45.05,124.62
Myotis chiloensis,Negative,Positive,0.698251845,-0.197929383,-0.033745798,-0.041053793,1,NA,38,1,0.98,562838.91,-42.02,23.77,101.3,52.27
Myotis ciliolabrum,Negative,Negative,0.660230979,-0.180989552,-0.035069243,-0.095464154,NA,4.89,NA,NA,NA,NA,NA,NA,NA,NA
Myotis cobanensis,Negative,Negative,NA,NA,NA,NA,NA,NA,41.49,1,NA,294.52,15.47,80.02,139.92,203.46
Myotis dominicensis,Negative,Negative,0.681878208,-0.190658047,-0.034408059,-0.098114144,NA,NA,34,1,NA,2248.11,15.85,197.45,NA,NA
Myotis elegans,Negative,Negative,0.702556053,-0.199808967,-0.033407261,-0.098218746,NA,4.21,32.99,1,0.98,669104.48,16.46,63.95,151.31,234.87
Myotis evotis,Positive,Positive,0.676689544,-0.188305849,-0.034498443,-0.066916454,NA,6.91,36.72,1,0.98,3119769.09,40.12,21.49,36.24,60.78
Myotis findleyi,Negative,Negative,NA,NA,NA,NA,NA,NA,31.5,1,NA,398.67,21.48,7,NA,NA
Myotis fortidens,Negative,Negative,NA,NA,NA,NA,1,4.37,37,1,0.98,470951.95,22.77,49.76,90.99,218.23
Myotis grisescens,Negative,Negative,0.679628354,-0.189661676,-0.034510963,-0.09541714,1,10.84,43.26,1,0.99,854748.87,35.76,42.41,94.64,147.3
Myotis hajastanicus,Negative,Negative,0.861826818,-0.272874412,-0.032250149,-0.078622171,NA,NA,NA,NA,NA,7282.75,40.39,103.46,36.37,40.04
Myotis keaysi,Negative,Negative,0.677132697,-0.188529868,-0.034482157,-0.08586414,NA,5.45,36.5,1,0.98,3235410.02,-2.23,42.94,131.91,214.67
Myotis keenii,Positive,Positive,0.680765531,-0.190112783,-0.03432274,-0.087823378,NA,6.51,36.5,1,0.99,398644.38,51.75,19.84,78.44,19.62
Myotis leibii,Negative,Negative,0.659635544,-0.180725707,-0.035095662,-0.063007188,NA,5.22,32.49,1,0.99,1424872.3,40.89,88.62,84.65,107.68
Myotis levis,Negative,Negative,0.736376569,-0.214849398,-0.032153295,-0.074197778,NA,5.49,38,1,NA,3055141.25,-28.83,33.8,78.24,154.51
Myotis lucifugus,Positive,Positive,0.688179075,-0.193399333,-0.034003278,0.117250464,1,7.8,37.76,1,1,NA,NA,NA,NA,NA
Myotis martiniquensis,Negative,Negative,0.68270524,-0.191024644,-0.034371041,-0.099064733,NA,NA,36.5,1,NA,1587.98,13.95,412.82,NA,NA
Myotis melanorhinus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,4297565.61,37.3,16.88,31.6,98.2
Myotis nesopolus,Negative,Negative,NA,NA,NA,NA,NA,3.56,31.5,1,NA,53573.46,11.08,53.06,47.93,259.02
Myotis nigricans,Positive,Positive,0.731869618,-0.212849966,-0.032344896,-0.10308149,NA,NA,NA,NA,NA,14531338.92,-2.93,26.44,145.55,234.83
Myotis occultus,Negative,Negative,NA,NA,NA,NA,NA,8.79,NA,NA,NA,NA,NA,NA,NA,NA
Myotis oxyotus,Negative,Negative,0.715271625,-0.2054863,-0.033049397,-0.10747254,NA,5.65,40,1,0.98,2445705.56,-2.53,45.35,138.49,207.37
Myotis peninsularis,Negative,Negative,NA,NA,NA,NA,NA,NA,38.99,1,NA,13115.08,23.68,12.27,17.63,205.82
Myotis planiceps,Negative,Negative,NA,NA,NA,NA,NA,NA,26.5,1,NA,27602.56,24.49,14.96,20.79,159.37
Myotis riparius,Negative,Negative,0.711370229,-0.203717127,-0.033022677,-0.097857426,1,4.57,34.99,1,0.98,14273179.55,-9.52,24.54,146.96,233.61
Myotis ruber,Negative,Negative,0.710898783,-0.203506044,-0.03303105,-0.095558885,NA,4.99,40,1,NA,1758280.25,-23.34,65.5,123.94,206.06
Myotis septentrionalis,Negative,Positive,0.662972778,-0.182210935,-0.03498998,-0.107263975,NA,NA,NA,NA,NA,4944705.89,46.87,38.73,64.39,51.34
Myotis simus,Negative,Negative,0.69598211,-0.196894011,-0.033693517,-0.059778232,NA,NA,37.5,1,0.98,5066834.22,-12.91,17.02,150.41,245.09
Myotis sodalis,Negative,Positive,0.694562087,-0.196220888,-0.033661938,-0.094070117,1,7.15,38.49,1,0.99,1567441.07,38.05,75.89,86.17,125.36
Myotis thysanodes,Negative,Positive,0.686726049,-0.192755174,-0.034065906,-0.060825755,NA,8.49,43.39,1,0.99,3432647.4,34.16,36.35,38.35,122.73
Myotis velifer,Negative,Positive,0.687324956,-0.193079336,-0.034200316,-0.087606834,1,9.82,41.99,1,0.99,1714121.75,27.11,43.73,56.05,180.04
Myotis vivesi,Negative,Negative,0.755622171,-0.223351506,-0.031123468,-0.06403661,1,25.63,60.99,1,0.99,36822.86,27.7,8.68,13.39,198.81
Myotis volans,Negative,Positive,0.692896636,-0.195482675,-0.033734861,-0.083208229,NA,8.71,37.5,1,0.99,4717135.24,39.96,25.7,40.33,81.83
Myotis yumanensis,Positive,Positive,0.697151382,-0.197437307,-0.033777338,-0.065003865,NA,5.15,35.05,1,0.99,3753876.77,37.19,27.34,38.01,112.76
Natalus jamaicensis,Negative,Negative,0.299323902,0.012071141,0.0256541,-0.066215772,NA,NA,NA,NA,NA,11081.39,18.11,222.21,172.66,240.33
Natalus major,Negative,Negative,0.294130151,0.013713521,0.023819296,0.264838322,NA,NA,NA,NA,NA,74512.66,18.77,214.83,104.89,239.05
Natalus primus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,79953.26,21.49,77.34,97.62,251.38
Natalus stramineus,Negative,Negative,0.304840007,0.010326889,0.027602863,0.214121361,1,5.68,38.86,1,0.99,3998095.4,3.72,48.8,120.63,230.73
Natalus tumidirostris,Negative,Negative,0.305786791,0.010026894,0.027937315,0.2105195,1,6.3,38.49,1,NA,1541215.06,6.82,34.18,132.59,247.02
Neonycteris pusilla,Negative,Negative,NA,NA,NA,NA,2,NA,34,1,NA,132901.2,1.01,0.07,261.74,248.03
Noctilio albiventris,Negative,Negative,NA,NA,NA,NA,3,31.46,59.96,1,0.99,13030875.29,-7.11,25.32,152.62,240.09
Noctilio leporinus,Negative,Negative,NA,NA,NA,NA,NA,29.93,NA,NA,NA,14991800.72,-3.78,31.17,142.79,234.63
Nycticeius cubanus,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,107157.22,21.51,108.76,103.5,252.34
Nycticeius humeralis,Positive,Positive,0.830434588,-0.256632887,-0.022105392,-0.110065564,NA,9.12,33.74,1,1.94,2889477.8,32.33,59.54,85.22,158.82
Nyctiellus lepidus,Negative,Negative,0.294497738,0.013204481,0.023956245,-0.105205578,1,NA,29,1,NA,66549.07,23.39,92.09,111.11,250.96
Nyctinomops aurispinosus,Negative,Negative,0.021205634,0.175444866,0.085675122,-0.137178426,1,18.43,49.5,1,1,12349250.02,1.94,25.15,149.71,237.86
Nyctinomops femorosaccus,Negative,Negative,NA,NA,NA,NA,1,15.04,47.5,1,0.99,1257778.48,26.21,32.89,31.84,178.07
Nyctinomops laticaudatus,Positive,Positive,0.024916534,0.177318384,0.093285282,-0.147686605,NA,13.12,43.24,1,0.99,13392624.04,-3.34,30.56,142.68,235.66
Nyctinomops macrotis,Negative,Negative,NA,NA,NA,NA,1,16.38,60.99,1,0.99,18149920.2,2.18,30.69,127.1,222.69
Peropteryx kappleri,Negative,Negative,0.023018627,0.176901113,0.092083097,0.637349575,1,9.85,49.5,1,1,4378235.63,-2.46,41.8,145.66,230.93
Peropteryx leucoptera,Negative,Negative,0.018853623,0.174473965,0.083045144,-0.0751,1,NA,44,1,NA,4061234.83,-5.04,17.59,170.26,253.4
Peropteryx macrotis,Negative,Negative,0.025288604,0.178040526,0.096801487,-0.115335826,1,5.68,43.5,1,0.99,12187438.94,-1.83,26.11,154.23,243.07
Peropteryx trinitatis,Negative,Negative,0.023492963,0.177147711,0.093078964,0.713304869,NA,4.19,NA,NA,NA,37561.11,9.94,99.22,153.74,249.08
Phylloderma stenops,Negative,Negative,-0.876004217,-0.527508501,-0.01781426,0.657903189,2,55.82,71.9,1,0.98,10120814.01,-5.75,28.29,163.13,241.38
Phyllonycteris aphylla,Negative,Negative,-0.756645446,-0.421414061,-0.026153557,0.656007685,3,14.15,46.5,1,0.99,11081.39,18.11,222.21,172.66,240.33
Phyllonycteris poeyi,Negative,Negative,NA,NA,NA,NA,NA,NA,47.79,1,0.98,183923.55,20.39,146.14,103.98,246.61
Phyllops falcatus,Negative,Negative,-0.882944393,-0.553191826,-0.04533059,0.698549513,NA,NA,41.49,1,0.98,181669.89,20.39,150,104.1,246.56
Phyllostomus discolor,Negative,Negative,NA,NA,NA,NA,3,36.7,62.5,1,0.99,12188897.67,-1.69,22.61,154.15,242.55
Phyllostomus elongatus,Negative,Negative,NA,NA,NA,NA,2,41.75,66,1,0.99,10958600.41,-5.62,23.16,155.48,241.35
Phyllostomus hastatus,Negative,Negative,-0.804129816,-0.464260455,-0.023564583,-0.043006787,3,91.44,83.27,1,0.99,12690238.32,-4.05,24.58,151.77,238.87
Phyllostomus latifolius,Negative,Negative,NA,NA,NA,NA,NA,134,58,1,NA,1693847.51,1.32,1.54,175.64,251.14
Pipistrellus hesperus,Positive,Positive,0.791000664,-0.238787643,-0.023718152,-0.073630577,NA,3.56,30.5,1,1.86,2664124.97,31.41,36.83,33.18,150.65
Pipistrellus subflavus,Positive,Positive,0.790362391,-0.239621924,-0.024248396,-0.07876584,1,5.74,33.95,1,1.96,4297155.48,31.01,62.24,86.64,147.98
Platalina genovensium,Negative,Negative,1.054800321,-0.356388253,-0.009606205,-0.113034075,1,NA,47.96,1,0.98,672990.49,-10.61,41.31,76.45,152.25
Platyrrhinus aurarius,Negative,Negative,-0.903813641,-0.572689315,-0.045340747,-0.07876584,NA,35.12,51.5,1,NA,434351.66,2.81,0.72,212.23,241.64
Platyrrhinus brachycephalus,Negative,Negative,-0.883469014,-0.553841953,-0.045597661,-0.117457455,NA,14.26,38.99,1,0.98,6905773.42,-3.27,9.24,168.21,235.33
Platyrrhinus chocoensis,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,1,NA,40113.01,3.92,77.93,361.44,207.91
Platyrrhinus dorsalis,Negative,Negative,-0.904138169,-0.572988856,-0.045335132,-0.13812812,NA,26,47.5,1,0.99,2202496.45,-7.6,31.47,134.82,201.83
Platyrrhinus helleri,Negative,Negative,-0.900811872,-0.569932041,-0.045407098,-0.135288497,1,13.44,38.09,1,0.99,10885924.75,-2.32,17.67,158.94,236.48
Platyrrhinus infuscus,Negative,Negative,NA,NA,NA,NA,NA,50.76,56.49,1,0.98,2812367.88,-6.21,19.74,162.29,215.49
Platyrrhinus lineatus,Negative,Negative,-0.903997737,-0.572845005,-0.045315894,-0.135383185,2,24.34,46.59,1,0.99,6717965.67,-10.71,38.44,118.26,211.12
Platyrrhinus recifinus,Negative,Negative,-0.926007807,-0.593195728,-0.044980343,-0.135285745,NA,NA,41.49,1,NA,2076551.04,-18.57,70.73,112.17,214.97
Platyrrhinus umbratus,Negative,Negative,NA,NA,NA,NA,NA,25.17,45.5,1,NA,1151725.92,5.94,62.93,134.77,237.9
Platyrrhinus vittatus,Negative,Negative,-0.910776714,-0.579120195,-0.045225437,-0.127451068,1,37.01,57.11,1,0.98,2096484.1,-3.62,45.65,136.79,199.26
Promops centralis,Negative,Negative,NA,NA,NA,NA,NA,29.8,53.03,1,0.99,4740669.41,-3.53,37.35,129.01,219.78
Promops nasutus,Negative,Negative,NA,NA,NA,NA,1,15.5,47.29,1,NA,8264473.62,-11.18,11.88,137.94,224.26
Pteronotus davyi,Negative,Negative,-0.411696154,-0.055280755,0.044818636,-0.08131508,1,9.52,45.1,1,0.99,2748221.32,10.77,63.21,126.19,224.94
Pteronotus gymnonotus,Negative,Negative,-0.406270276,-0.05202548,0.042037222,-0.080924778,1,13.6,51.74,1,0.98,3390492.62,1.13,30.85,153.35,235.89
Pteronotus macleayii,Negative,Negative,-0.417444485,-0.058735053,0.047773336,-0.108960219,1,NA,43.5,1,NA,120492.27,20.44,118.67,108.01,251.47
Pteronotus parnellii,Negative,Negative,-0.415529196,-0.057603187,0.046801222,0.250097388,1,19.59,60.09,1,0.99,8414216.78,6.41,32.23,152.61,240.05
Pteronotus personatus,Negative,Negative,-0.407748706,-0.053006298,0.042812625,0.244790247,1,7.99,44.49,1,0.98,4866973.12,5.64,40.21,139.39,237.93
Pteronotus quadridens,Negative,Negative,-0.414920102,-0.057221323,0.046478412,0.2537542,1,5.64,37.5,1,1.21,201573.11,20.39,168.91,106.77,245.98
Pygoderma bilabiatum,Negative,Negative,NA,NA,NA,NA,2,18.5,40,1,0.98,3070130.45,-22.2,41.47,109.76,207.5
Rhinophylla alethina,Negative,Negative,-0.768998129,-0.434338395,-0.027424628,-0.226037538,1,NA,35.49,1,NA,241884.09,1.08,65.86,198.14,204.23
Rhinophylla fischerae,Negative,Negative,-0.795236747,-0.457462388,-0.025377401,-0.240474314,1,9.6,32.02,1,0.98,3691801.39,-4.69,8.48,186.8,242.74
Rhinophylla pumilio,Negative,Negative,-0.793527459,-0.45595685,-0.025512566,-0.227987959,1,9.58,33.5,1,0.98,8340002.26,-4.6,12.53,163.68,244.76
Rhogeessa aeneus,Negative,Negative,0.784734991,-0.237119305,-0.025438669,-0.097694484,NA,NA,NA,NA,NA,124919.96,19.66,24.49,92,254.51
Rhogeessa alleni,Negative,Negative,NA,NA,NA,NA,NA,NA,32.49,1,NA,263308.67,19.06,140.26,85.02,182.26
Rhogeessa genowaysi,Negative,Negative,0.807085483,-0.247050666,-0.024225366,-0.124635181,NA,NA,29,1,NA,9923.22,15.38,62.77,189.46,238.28
Rhogeessa gracilis,Negative,Negative,0.739286358,-0.216773146,-0.027548733,-0.125944926,NA,NA,32,1,NA,270246.59,19.31,44.03,97.53,203.41
Rhogeessa hussoni,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,189232.4,1.13,1.67,201.61,245.95
Rhogeessa io,Negative,Negative,0.779948213,-0.234986917,-0.025684788,-0.078775513,NA,NA,NA,NA,NA,7429453.62,-2.29,22.16,144.32,245.15
Rhogeessa minutilla,Negative,Negative,NA,NA,NA,NA,NA,3.75,27.5,1,NA,943337.3,6.19,48.14,120.54,243.54
Rhogeessa mira,Negative,Negative,0.798000623,-0.242986237,-0.024649576,-0.082413444,NA,NA,25.5,1,NA,7524.33,18.29,26.68,106.38,228.9
Rhogeessa parvula,Negative,Negative,0.764248939,-0.227996415,-0.02649919,-0.070487976,1,4.37,29,1,1.98,449611.68,22.58,68.19,77.1,201.72
Rhogeessa tumida,Negative,Negative,0.78146022,-0.235665615,-0.025619348,-0.077963481,1,4.58,29.49,1,1.4,781796.28,17.09,59.62,135.91,234.63
Rhynchonycteris naso,Negative,Negative,0.014625725,0.169842692,0.071271182,-0.075318349,1,4.14,38.11,1,0.99,11358190.42,-1.53,21.94,157.52,244.17
Saccopteryx antioquensis,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,12746.59,5.54,68.66,152.83,201.53
Saccopteryx bilineata,Negative,Negative,0.023134791,0.174744627,0.089598806,-0.118356554,1,8.08,45.99,1,0.99,12018838.16,0.5,26.37,153.44,241.8
Saccopteryx canescens,Negative,Negative,0.019013081,0.172828315,0.081217703,-0.119656844,1,3.41,38,1,1,5307719.51,0.07,11.45,175.88,252.22
Saccopteryx gymnura,Negative,Negative,0.020482016,0.17349305,0.084183373,-0.117968615,1,NA,34,1,NA,170607,-2,2.95,162.68,255.02
Saccopteryx leptura,Negative,Negative,0.020875862,0.173717782,0.085032663,0.663004593,NA,NA,NA,NA,NA,10599499.36,-1.79,20.97,160.77,245.27
Scleronycteris ega,Negative,Negative,NA,NA,NA,NA,NA,49.54,34.5,1,NA,243503.95,0.02,0.28,213.31,251.67
Sphaeronycteris toxophyllum,Negative,Negative,-0.873246835,-0.544265445,-0.045532159,-0.011089255,1,16.06,38.49,1,NA,4763066.63,-2.29,11.71,173.21,245.88
Stenoderma rufum,Negative,Negative,-0.863788804,-0.535542883,-0.045707444,-0.012262839,1,21.1,49.37,1,0.99,8961.11,18.22,306.66,104.75,240
Sturnira aratathomasi,Negative,Negative,-0.865168033,-0.535164948,-0.043651982,-0.011533516,1,49.67,58.59,1,0.99,450907.36,3.15,51.41,188.57,227.58
Sturnira bidens,Negative,Negative,-0.817268721,-0.490943266,-0.044356586,-0.125669919,1,18.05,41.49,1,0.99,381210.45,-1.95,47.83,145.74,191
Sturnira bogotensis,Negative,Negative,-0.880958555,-0.549725543,-0.043384339,-0.122935772,1,19.94,NA,1,0.98,707990.74,-0.95,48.76,143.22,207.19
Sturnira erythromos,Negative,Negative,-0.884193473,-0.552697482,-0.043312675,-0.116696088,1,15.53,41.74,1,0.99,3121221.48,-7.86,37.36,126.41,197.44
Sturnira lilium,Negative,Negative,NA,NA,NA,NA,3,20.19,40.5,1,0.99,15518876.5,-2.47,28.95,142.56,232.46
Sturnira ludovici,Negative,Negative,-0.888265164,-0.556439201,-0.043224435,-0.10269648,1,21,43.5,1,0.99,2756672.83,10.13,60.71,132.38,230.47
Sturnira luisi,Negative,Negative,-0.852188369,-0.523277881,-0.043998983,-0.121236119,1,NA,43,1,NA,530510.11,0.15,47.3,174.37,210.48
Sturnira magna,Negative,Negative,-0.910866828,-0.577195108,-0.042711105,-0.111621428,1,NA,57.5,1,0.98,1663098.75,-8.48,19.15,159.27,192.95
Sturnira mistratensis,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.63,5.37,109.5,356.5,194
Sturnira mordax,Negative,Negative,-0.870554987,-0.540174477,-0.043624173,-0.110187639,1,11.79,46.5,1,0.98,36057.38,9.56,53.04,248.5,247.78
Sturnira nana,Negative,Negative,-0.824763821,-0.497989046,-0.044450335,-0.112131843,1,NA,34.99,1,0.98,134979.84,-12.62,12.84,131.46,162.58
Sturnira oporaphilum,Negative,Negative,-0.896212862,-0.563737722,-0.043044271,-0.129423047,NA,21.99,45.99,NA,NA,791859.53,-16.72,8.03,137.9,196.4
Sturnira thomasi,Negative,Negative,NA,NA,NA,NA,1,NA,47,1,NA,1580.07,16.38,221.77,NA,NA
Sturnira tildae,Negative,Negative,-0.884003612,-0.552521666,-0.043314994,-0.125418913,1,24.39,45.5,1,0.98,11144679,-7.74,21.92,154.33,239.61
Tadarida brasiliensis,Positive,Positive,-4.32E-05,0.161921119,0.039185613,0.451763367,1,12.61,42.26,1,1.11,13978029.11,1.23,45.59,81.68,169.87
Thyroptera discifera,Negative,Negative,-0.21589751,0.828400057,-0.570677961,-0.120397624,NA,3.13,33.5,1,NA,6234471.86,-1.21,15.05,178.23,247.27
Thyroptera lavali,Negative,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1256123.71,-1.38,0.92,203.11,255.22
Thyroptera tricolor,Negative,Negative,-0.498850691,-0.143140136,0.040144576,0.569879958,1,4.52,35.49,1,0.98,9815698.72,-3.84,28.9,160.56,239.84
Tomopeas ravus,Negative,Negative,0.016643277,0.161638084,0.064467705,0.285295929,NA,NA,32.99,2,NA,207270.61,-10.23,83.17,33.35,103.38
Tonatia bidens,Negative,Negative,-0.777957462,-0.441105218,-0.025499798,0.298017424,3,27.7,58.13,1,0.98,3493484.02,-15.02,49.89,103.54,215.6
Tonatia saurophila,Negative,Negative,-0.795588034,-0.456594845,-0.024068189,0.185604578,NA,NA,NA,NA,NA,7442847.6,0.48,15.84,162.39,246.85
Trachops cirrhosus,Negative,Negative,-0.775117514,-0.438058682,-0.024902891,0.474107623,2,36.9,58.45,1,0.98,12679671.21,-5.5,27.05,154.52,239.27
Trinycteris nicefori,Negative,Negative,NA,NA,NA,NA,2,8.25,38,1,1,3834710.43,-1.17,20.22,175.32,239.33
Uroderma bilobatum,Negative,Negative,-0.934353148,-0.60056164,-0.044358222,-0.232905927,3,16.28,42.03,1,0.99,12877448.68,-3.16,27.68,152.59,237.52
Uroderma magnirostrum,Negative,Negative,-0.904710563,-0.573244361,-0.044934694,-0.245942988,1,17.3,41.49,1,0.98,10432701.36,-0.56,18.77,159.27,243.82
Vampyressa bidens,Negative,Negative,-0.840041927,-0.513419527,-0.045887335,-0.106087768,NA,11.91,35.57,1,0.98,6977521.45,-3.79,8.47,173.85,239.75
Vampyressa brocki,Negative,Negative,-0.878372731,-0.548710058,-0.04510494,-0.142972117,NA,48,33.5,1,NA,813032.62,0.76,1.96,171.14,258.51
Vampyressa melissa,Negative,Negative,-0.877280789,-0.547906386,-0.045395274,-0.134492365,NA,16.58,38,1,0.98,521452.78,0.26,1.45,240.44,257.98
Vampyressa nymphaea,Negative,Negative,-0.885372204,-0.555151688,-0.044958063,-0.11513216,NA,69,36.5,1,0.99,118464.26,9.82,36.13,230.23,249.61
Vampyressa pusilla,Negative,Negative,-0.931297095,-0.597681916,-0.044342418,-0.125978878,1,8.77,30.5,1,0.98,NA,NA,NA,NA,NA
Vampyressa thyone,Negative,Negative,-0.878759076,-0.549277369,-0.045377358,-0.12642695,NA,7.17,31.5,NA,NA,NA,NA,NA,NA,NA
Vampyrodes caraccioli,Negative,Negative,-0.893836589,-0.563361737,-0.045349311,-0.127949168,1,35.89,52.05,1,0.98,8377468.83,0.28,15.57,172.08,241.37
Vampyrum spectrum,Negative,Negative,-0.840786216,-0.496115111,-0.020032016,-0.141867915,2,171.61,68.79,1,1,5565902.37,-0.75,27.09,155.53,232.02
