Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.d,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Mustela nivalis,Negative,Negative,polygamous,no,-56.48,-20.94,-0.31,2,0.08,1,1,273.75,5.07,10.00,169.99,36.74,43656881.02,51.84,-6.45E-08,36.98,3.75,-0.71
Mustela altaica,Negative,Negative,polygamous,no,-56.48,-20.94,-0.31,2,0.18,1,1,365,5.44,NA,NA,56,7652386.33,41.08,103.12,66.51,5.09,-0.61
Mustela frenata,Negative,Negative,polygamous,no,-56.36,-20.84,-0.31,2,0.19,1,2,365,6.5,7.10,200.69,34.23,12290918.8,19.52,-94.34,42.5,7.82,13.09
Mustela felipei,Negative,Negative,monogamous,no,-56.36,-20.84,-0.31,NA,0.21,NA,1,NA,NA,NA,NA,NA,2258.77,2.02,-76.59,45.99,11.40,13.10
Lyncodon patagonicus,Negative,Negative,NA,NA,-49.72,-15.28,-0.2,2,0.23,NA,1,NA,NA,NA,NA,NA,834663.98,-38.91,-69.04,4.91,2.97,10.02
Ictonyx libyca,Negative,Negative,NA,NA,-56.4,-20.87,-0.31,1,0.23,6,1,NA,2,5.00,NA,NA,12285728.6,23.09,10.19,20.3,1.59,24.46
Mustela kathiah,Negative,Negative,NA,no,-56.42,-20.89,-0.31,NA,0.26,1,1,NA,NA,NA,NA,NA,320536.51,24.93,100.49,322.41,12.03,15.48
Helogale parvula,Negative,Negative,monogamous,yes,62.26,-18.82,-28.96,3,0.28,1,1,141.94,3.49,10.92,423.04,21,6944753.53,-7.04,31.73,30.49,7.14,22.24
Mustela erminea,Negative,Negative,polygamous,no,-56.45,-20.91,-0.31,2,0.28,1,1,365,6.74,7.10,93.09,60.93,39718064.94,50.89,-0.01,27.06,3.82,-2.82
Poecilogale albinucha,Negative,Negative,NA,no,-56.4,-20.87,-0.31,1,0.31,1,1,243.33,2.23,5.20,914.79,76.56,6524644.39,-16.13,24.76,35.42,9.00,21.54
Dologale dybowskii,Negative,Negative,NA,no,62.26,-18.82,-28.96,NA,0.36,NA,1,NA,4,NA,NA,NA,433013.15,2.78,28.71,39.34,12.44,23.43
Spilogale pygmaea,Negative,Negative,NA,NA,-47.17,-12.92,-0.16,2,0.37,6,1,NA,4,NA,NA,NA,95598.41,19.49,-100.42,36.44,9.72,21.71
Mustela lutreolina,Negative,Negative,polygamous,no,-56.51,-20.96,-0.31,2,0.47,1,1,NA,NA,NA,NA,NA,52045.25,-5.4,106.38,696.72,23.66,24.55
Helogale hirtula,Negative,Negative,monogamous,yes,62.26,-18.82,-28.96,3,0.48,1,1,NA,NA,NA,NA,NA,1080149.67,1.75,42.13,23.39,4.19,24.20
Mustela sibirica,Negative,Negative,polygamous,no,-56.51,-20.96,-0.31,2,0.53,1,1,NA,6.48,8.83,NA,58.2,20179461.96,38.46,96.87,78.36,4.53,2.25
Mustela africana,Negative,Negative,polygamous,NA,-56.36,-20.84,-0.31,NA,0.54,NA,1,NA,NA,NA,NA,NA,4349020.29,-4.15,-60.71,3.27,18.26,25.33
Galidictis fasciata,Negative,Negative,monogamous,no,60.62,-17.69,-26.78,2,0.55,2,1,365,1,NA,NA,NA,87237.59,-19.6,48.5,33.5,17.86,19.78
Mustela lutreola,Negative,Negative,NA,NA,-56.51,-20.96,-0.31,2,0.57,2,3,365,4.5,10.00,351.71,58.71,3568955.39,54.33,28.63,50.57,4.55,4.18
Mustela nudipes,Negative,Negative,polygamous,no,-56.51,-20.96,-0.31,NA,0.57,NA,1,NA,4,NA,NA,NA,1430581.79,-0.87,107.22,149.19,23.95,24.80
Poiana richardsonii,Negative,Negative,NA,no,59.64,-16.9,-25.14,1,0.57,6,1,NA,2.23,5.33,NA,NA,2191921.08,-0.38,19.4,19.35,14.97,24.30
Vormela peregusna,Negative,Negative,NA,no,-56.19,-20.7,-0.3,2,0.59,1,1,365,5.07,8.92,NA,NA,8883616.47,40.59,68.25,37.77,2.57,7.03
Mungotictis decemlineata,Negative,Negative,monogamous,yes,60.63,-17.69,-26.79,3,0.66,2,2,NA,0.99,NA,755.15,45.1,17099.69,-20.79,44.45,8.12,6.32,24.13
Prionodon linsang,Negative,Negative,NA,no,31.92,1.68,10.47,1,0.68,6,1,182.5,2.3,10.70,NA,NA,1202013.54,3.95,107.22,172.11,23.65,24.98
Crossarchus ansorgei,Negative,Negative,monogamous,yes,62.27,-18.82,-28.97,3,0.70,6,1,NA,NA,NA,NA,NA,604251.42,-3.67,20.06,9.34,15.43,25.00
Salanoia concolor,Negative,Negative,NA,NA,60.63,-17.69,-26.79,3,0.71,3,1,NA,NA,4.80,NA,NA,41471.69,-17.01,49.28,31.35,19.74,20.52
Galerella flavescens,Negative,Negative,NA,NA,62.16,-18.75,-28.83,NA,0.75,NA,1,NA,NA,NA,NA,NA,279748.74,-17.71,14.25,4.05,3.65,18.13
Galerella pulverulenta,Negative,Negative,NA,no,62.16,-18.74,-28.82,3,0.79,2,1,NA,2.25,8.71,NA,NA,634570.78,-30.16,23.18,24.97,2.83,15.80
Galidia elegans,Negative,Negative,NA,yes,60.6,-17.67,-26.76,2,0.81,6,4,365,1,13.20,742.46,59.27,120561.29,-18.76,47.19,28.71,15.49,21.20
Ictonyx striatus,Negative,Negative,polygamous,no,-56.19,-20.7,-0.3,1,0.81,6,1,365,2.3,13.33,447.7,59.09,16688705.64,-6.1,15.42,28.73,6.31,23.52
Martes americana,Negative,Negative,polygamous,no,-56,-20.54,-0.3,2,0.87,1,1,365,2.6,19.00,456.25,45.73,7620172.14,52.85,-107.58,4.32,4.85,-2.61
Bassariscus sumichrasti,Negative,Negative,NA,no,-50.08,-15.41,-0.2,1,0.91,6,1,NA,2,23.00,841.82,119.32,625977.74,15.06,-91.5,60.47,13.44,23.03
Mustela nigripes,Negative,Negative,NA,no,-56.51,-20.96,-0.31,1,0.91,1,1,365,3.36,12.00,371.23,59.66,NA,NA,NA,NA,NA,NA
Mustela putorius,Negative,Negative,polygamous,no,-56.51,-20.96,-0.31,1,0.98,1,1,252.5,8.48,14.00,308.5,54.39,7565541.29,47.73,27.32,95.38,5.08,6.39
Vulpes cana,Negative,Negative,monogamous,no,-6.79,84.29,-17.13,1,0.99,6,1,NA,2,10.00,380.55,44.74,2162391.85,27.06,49.02,33.51,1.98,16.57
Galictis cuja,Negative,Negative,polygamous,yes,-56.41,-20.88,-0.31,2,1.00,1,1,NA,NA,7.25,NA,NA,4564918.07,-29.01,-58.14,34.44,7.61,15.29
Martes melampus,Negative,Negative,NA,no,-56.01,-20.54,-0.3,NA,1.00,NA,1,NA,NA,NA,NA,NA,377250.77,36.26,134.09,400.13,13.30,10.30
Bassariscus astutus,Negative,Negative,NA,no,-50.08,-15.41,-0.2,1,1.01,6,1,365,3,16.50,278.08,53.84,3916072.44,29.65,-107.94,37.3,4.53,15.40
Conepatus humboldtii,Negative,Negative,NA,no,-47.1,-12.87,-0.16,1,1.10,1,2,NA,3.49,NA,NA,NA,709172.73,-45.97,-68.78,3.02,3.06,8.08
Mephitis macroura,Negative,Negative,monogamous,no,-47.14,-12.9,-0.16,2,1.10,1,1,NA,4.68,NA,NA,NA,1791883.52,23.58,-99.25,53.35,6.11,18.77
Prionodon pardicolor,Negative,Negative,NA,no,31.92,1.68,10.47,1,1.14,6,1,182.5,2,NA,NA,NA,1096040.96,21.41,97.91,112.92,14.27,18.26
Martes zibellina,Negative,Negative,NA,NA,-56.01,-20.54,-0.3,2,1.17,6,1,NA,3.13,15.00,479.51,52.23,6492749.47,55.69,116.98,6.04,3.18,-7.83
Genetta servalina,Negative,Negative,NA,NA,59.86,-17.04,-25.41,1,1.18,6,1,NA,1.5,NA,NA,NA,3667035.54,-1.88,24.13,30.75,13.35,23.67
Bassaricyon pauli,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,1,1.20,NA,1,NA,NA,NA,NA,NA,1402.79,8.86,-82.87,29.67,23.30,29.54
Bassaricyon lasius,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,1,1.20,NA,1,NA,NA,NA,NA,NA,3842.65,10.06,-83.83,196.05,23.82,21.82
Bassaricyon beddardi,Negative,Negative,NA,NA,-50.04,-15.39,-0.2,1,1.24,NA,1,NA,NA,NA,NA,NA,441326.32,2.85,-64.01,0.69,18.63,23.99
Bassaricyon gabbii,Negative,Negative,polygamous,no,-50.04,-15.39,-0.2,1,1.25,6,2,NA,1,25.00,607.2,89.49,803202.18,5.08,-77.78,46.86,17.64,23.09
Mungos mungo,Negative,Negative,NA,yes,62.25,-18.81,-28.95,3,1.26,1,1,365,2.68,12.00,349.33,20.88,15894555.38,-8.34,16.93,33.16,7.88,23.86
Hemigalus derbyanus,Negative,Negative,NA,no,59.14,-16.57,-24.53,1,1.26,6,1,NA,1.73,12.00,NA,69.6,1431386.4,4.74,107.22,70.76,24.52,24.89
Martes martes,Negative,Negative,NA,no,-56.01,-20.54,-0.3,1,1.30,1,1,365,3.49,17.00,508.47,54.19,8361437.29,53.35,37.01,75.76,5.19,4.26
Herpestes edwardsi,Negative,Negative,NA,yes,62.17,-18.75,-28.85,3,1.30,6,1,109.5,2,NA,311.36,34.8,3629768.58,19.99,69.16,313.35,8.06,24.23
Vulpes zerda,Negative,Negative,monogamous,yes,-6.79,84.29,-17.13,1,1.32,6,1,365,2.36,14.58,294.06,65.56,6960271.02,25.73,15.99,3.93,0.36,24.56
Nasuella olivacea,Negative,Negative,polygamous,yes,-50.1,-15.43,-0.2,2,1.34,6,1,NA,NA,NA,NA,NA,111926.53,3.91,-74.3,79.9,11.87,17.70
Felis nigripes,Negative,Negative,polygamous,no,45.09,5.09,67.39,2,1.36,1,1,228.12,1.78,12.00,284.58,67.23,1732323.73,-24.65,22.29,8.32,3.06,18.67
Crossarchus obscurus,Negative,Negative,NA,yes,62.27,-18.82,-28.97,3,1.40,6,1,121.66,4.29,9.00,278.42,29.23,438210.83,6.82,-6.63,72.53,17.50,25.64
Herpestes brachyurus,Negative,Negative,NA,NA,62.12,-18.72,-28.78,1,1.40,1,1,NA,3.49,NA,NA,NA,1313618.8,3.19,107.76,65.98,24.37,24.84
Galidictis grandidieri,Negative,Negative,monogamous,yes,60.62,-17.69,-26.78,2,1.40,2,1,365,1,NA,NA,NA,4044.38,-24.29,43.96,13,4.32,24.18
Genetta thierryi,Negative,Negative,NA,NA,59.73,-16.96,-25.25,NA,1.40,NA,1,NA,NA,NA,NA,NA,2289307.11,11.31,-1.18,73.19,10.86,26.57
Genetta abyssinica,Negative,Negative,NA,NA,59.73,-16.96,-25.25,NA,1.41,NA,1,NA,NA,NA,NA,NA,418638.21,12.72,40.62,55.58,6.12,23.26
Prionailurus rubiginosus,Negative,Negative,monogamous,no,45.06,5.08,67.28,1,1.42,1,1,NA,2.23,NA,NA,NA,1372527.48,14.64,78.1,331.4,9.56,26.12
Mustela strigidorsa,Negative,Negative,polygamous,NA,-56.51,-20.96,-0.31,NA,1.50,NA,1,NA,NA,NA,NA,NA,453670.13,19.97,96.48,81.35,16.33,15.96
Crossarchus alexandri,Negative,Negative,NA,NA,62.27,-18.82,-28.97,NA,1.50,NA,1,NA,4,NA,NA,NA,1464819.63,-0.31,25.63,21.39,14.36,24.09
Mungos gambianus,Negative,Negative,NA,yes,62.25,-18.81,-28.95,3,1.64,6,1,NA,NA,NA,NA,NA,1729257.01,9.06,-1.11,70.87,13.22,26.30
Genetta piscivora,Negative,Negative,NA,no,59.86,-17.04,-25.41,1,1.65,1,2,NA,0.96,NA,NA,NA,222754.63,0.61,24.78,18.8,14.49,23.63
Paracynictis selousi,Negative,Negative,NA,NA,62.19,-18.77,-28.87,1,1.67,1,1,NA,2,NA,NA,NA,2095494.67,-19.04,25.34,18.41,7.31,21.29
Martes foina,Negative,Negative,polygamous,no,-56,-20.54,-0.3,2,1.68,1,1,365,3.78,18.10,742.46,74.11,7011029.37,40.18,53.26,97.94,5.01,6.88
Mustela eversmanii,Negative,Negative,polygamous,yes,-56.51,-20.96,-0.31,1,1.68,1,1,365,7.82,NA,326.63,48.8,16554151.55,43.4,71.84,39.51,3.43,1.79
Herpestes smithii,Negative,Negative,NA,NA,62.17,-18.75,-28.85,1,1.70,6,1,NA,2.5,NA,NA,NA,1629561.03,15.21,80.19,321.15,9.98,25.87
Bdeogale crassicauda,Negative,Negative,NA,no,62.2,-18.77,-28.88,1,1.72,1,1,NA,0.96,NA,NA,NA,1654322.83,-11.01,33.53,38.56,8.29,22.93
Genetta genetta,Negative,Negative,NA,no,59.86,-17.04,-25.4,1,1.76,6,1,182.5,2.29,34.00,1262.74,71.8,17766920.65,7.53,16.93,39.75,5.35,22.90
Liberiictis kuhni,Negative,Negative,NA,yes,62.25,-18.8,-28.94,3,1.83,6,1,NA,NA,NA,NA,NA,125428.68,6.42,-9.34,33.18,24.00,24.48
Melogale personata,Negative,Negative,NA,no,-55.4,-20.03,-0.29,2,1.85,6,1,NA,2.5,NA,NA,NA,312496.33,18.19,97.95,193.5,16.00,22.81
Fossa fossana,Negative,Negative,monogamous,no,60.49,-17.6,-26.61,1,1.85,6,2,365,1,11.00,533.97,66.84,106522.05,-18.81,48.5,37.33,16.80,20.28
Genetta angolensis,Negative,Negative,NA,NA,59.88,-17.05,-25.42,1,1.86,NA,1,NA,NA,NA,NA,NA,2087717.97,-9.97,26.29,19.81,9.41,21.64
Genetta cristata,Negative,Negative,NA,NA,59.86,-17.04,-25.4,1,1.86,2,NA,NA,2.5,34.00,NA,NA,210874.67,5.47,9.98,113.75,17.96,24.20
Urocyon littoralis,Negative,Negative,monogamous,no,-6.75,83.15,-16.84,2,1.92,6,1,365,2.17,8.00,361.52,NA,511.92,33.98,-119.98,82.01,NA,NA
Genetta maculata,Negative,Negative,NA,NA,59.88,-17.05,-25.42,1,1.95,6,1,NA,2.12,NA,NA,NA,12805950.62,-5.9,23.09,34.65,9.68,23.32
Conepatus semistriatus,Negative,Negative,polygamous,no,-47.1,-12.87,-0.16,1,2.00,6,2,NA,3.49,NA,NA,NA,2032658.27,4.29,-66.03,65.25,13.02,24.33
Martes gwatkinsii,Negative,Negative,monogamous,yes,-55.99,-20.52,-0.3,2,2.04,3,1,NA,NA,NA,NA,90.73,9366.98,9.88,76.88,509.72,15.54,26.00
Genetta tigrina,Negative,Negative,NA,no,59.87,-17.05,-25.42,1,2.07,6,1,304.16,2.76,15.00,841.82,87.77,587510.9,-28.48,25.37,61.1,5.43,17.01
Vulpes velox,Negative,Negative,monogamous,yes,-6.8,84.34,-17.14,1,2.09,1,1,365,4.25,20.00,470.29,47.08,671658.66,38.43,-102.84,7.54,3.54,10.56
Nandinia binotata,Negative,Negative,polygamous,no,31.21,1.8,9.9,1,2.17,2,2,182.5,1.84,18.50,1015,63.81,5977079.52,-3.92,11.45,45.82,13.02,24.00
Genetta johnstoni,Negative,Negative,NA,NA,59.8,-17,-25.33,NA,2.23,NA,1,NA,NA,NA,NA,NA,180606.44,6.86,-8.95,35.89,21.92,24.67
Rhynchogale melleri,Negative,Negative,NA,NA,62.17,-18.75,-28.84,1,2.24,6,1,NA,2,NA,NA,NA,2352914.33,-14.93,30.73,28.1,8.23,22.12
Arctogalidia trivirgata,Negative,Negative,NA,no,58.95,-16.45,-24.31,1,2.32,6,1,182.5,2.79,15.83,841.82,49.41,2766097.4,10.9,105.38,97.79,19.93,23.21
Herpestes vitticollis,Negative,Negative,NA,NA,62.13,-18.72,-28.78,2,2.38,NA,1,NA,2.73,NA,NA,NA,197229,10.47,78.28,377.61,12.97,25.84
Herpestes urva,Negative,Negative,NA,NA,62.12,-18.72,-28.78,1,2.38,6,1,NA,3,13.33,NA,NA,3243514.37,17.26,103.99,222.81,14.49,19.48
Bdeogale jacksoni,Negative,Negative,NA,no,62.2,-18.77,-28.88,NA,2.50,2,1,NA,NA,NA,NA,NA,81428.64,0.25,36.16,188.08,8.01,19.64
Mydaus marchei,Negative,Negative,NA,no,-46.88,-12.73,-0.16,2,2.50,NA,1,NA,NA,NA,NA,NA,12526.74,10.33,118.75,41.8,22.40,24.98
Mydaus javanensis,Negative,Negative,NA,NA,-46.88,-12.73,-0.16,1,2.50,6,1,NA,NA,NA,NA,NA,764817.16,-0.8,107.18,188.31,24.24,24.89
Martes flavigula,Negative,Negative,monogamous,yes,-55.99,-20.52,-0.3,3,2.50,1,1,182.5,3.53,14.00,1262.74,89.49,5260689.7,20.7,104.18,141.77,13.49,14.91
Vulpes bengalensis,Negative,Negative,monogamous,no,-6.8,84.34,-17.14,2,2.51,6,1,365,3.49,10.00,NA,NA,3182952.32,21.27,78.36,323.93,8.44,24.43
Bdeogale nigripes,Negative,Negative,NA,no,62.2,-18.77,-28.88,1,2.62,6,1,NA,1,15.83,NA,NA,3117248.8,0.73,19.61,21.16,14.55,24.22
Genetta victoriae,Negative,Negative,NA,NA,59.76,-16.97,-25.28,NA,2.74,NA,1,NA,NA,NA,NA,NA,657455.4,0.24,23.91,25.47,14.01,23.44
Eupleres goudotii,Negative,Negative,NA,no,60.49,-17.6,-26.61,2,2.76,6,1,NA,1,NA,NA,62.99,111808.26,-18.76,47.44,33.45,16.37,20.72
Prionailurus bengalensis,Negative,Negative,polygamous,no,45.07,5.08,67.32,1,2.78,1,1,165.56,2.5,15.00,855.31,24.85,10201747.8,20.75,103.04,219.36,12.57,16.91
Vulpes pallida,Negative,Negative,NA,yes,-6.79,84.22,-17.11,1,2.80,6,1,NA,4,10.00,NA,NA,4166246.1,15,11.84,28.92,3.83,27.10
Felis margarita,Negative,Negative,NA,NA,45.09,5.09,67.41,1,2.82,1,1,197.7,4.12,NA,NA,NA,12141993.7,30.41,26.61,10.35,0.75,22.39
Pardofelis marmorata,Negative,Negative,NA,no,44.91,5.04,66.64,1,2.83,1,1,NA,2,NA,NA,NA,2298300.89,11.32,101.34,77.52,20.23,22.69
Felis catus,Negative,Negative,polygamous,yes,45.1,5.09,67.41,NA,2.88,NA,NA,NA,NA,34.00,296.98,NA,NA,NA,NA,NA,NA,NA
Viverricula indica,Negative,Negative,polygamous,no,58.93,-16.44,-24.28,2,2.92,6,3,NA,3.74,10.50,NA,NA,8147745.62,11.89,94.37,262.87,12.70,21.67
Vulpes chama,Negative,Negative,monogamous,yes,-6.79,84.22,-17.11,1,2.92,6,1,NA,2.5,10.00,311.36,NA,2079866.13,-25.18,21.48,15.78,3.07,17.91
Procyon pygmaeus,Negative,Negative,polygamous,no,-50.12,-15.44,-0.21,1,2.96,3,1,NA,NA,NA,NA,NA,490.76,20.42,-86.87,67.63,12.30,25.60
Herpestes ichneumon,Negative,Negative,NA,NA,62.15,-18.74,-28.82,2,2.98,6,1,365,3,20.00,729.99,58.09,14429050.1,2.37,14.68,50.25,8.06,23.21
Herpestes naso,Negative,Negative,NA,NA,62.13,-18.72,-28.78,1,3.00,1,1,NA,NA,NA,NA,NA,2499072.82,-2.46,17.58,22.84,14.77,24.27
Felis manul,Negative,Negative,polygamous,no,45.01,5.07,67.06,1,3.05,1,1,NA,4.83,NA,NA,NA,8390117.08,40.56,84.32,21.03,3.00,0.73
Paradoxurus hermaphroditus,Negative,Negative,NA,no,59.2,-16.61,-24.6,1,3.20,6,1,182.5,3.29,22.42,397.85,NA,7074837.93,12.12,99.45,232.74,15.29,23.26
Vulpes rueppellii,Negative,Negative,monogamous,yes,-6.8,84.34,-17.14,1,3.25,1,1,NA,2.12,NA,NA,NA,11669070.9,24.61,27.22,23.42,0.87,22.18
Chrotogale owstoni,Negative,Negative,NA,no,59.14,-16.57,-24.52,2,3.27,6,1,NA,NA,NA,NA,NA,27879.9,22.03,105.03,297.26,13.69,18.31
Leopardus wiedii,Negative,Negative,NA,no,45.08,5.08,67.34,2,3.27,1,2,NA,1.5,20.00,1052.28,93.4,12404067.35,-3.38,-74.15,24.7,15.33,23.70
Conepatus leuconotus,Negative,Negative,polygamous,no,-47.1,-12.87,-0.16,1,3.29,1,1,182.5,3.6,7.00,340.6,45.56,2509559.21,26,-99.88,43.68,5.66,18.07
Catopuma badia,Negative,Negative,NA,no,44.91,5.04,66.65,NA,3.43,NA,1,NA,NA,NA,NA,NA,261512.24,2.84,115.07,12.38,27.86,22.79
Aonyx cinerea,Negative,Negative,monogamous,yes,-56.5,-20.96,-0.31,1,3.53,2,2,182.5,1.47,10.08,NA,79.54,3673360.97,11.3,98.3,216.27,17.31,22.66
Paradoxurus jerdoni,Negative,Negative,NA,no,59.2,-16.61,-24.6,1,3.53,6,1,NA,3,12.00,NA,NA,14283.81,10.64,76.76,468.69,16.71,25.70
Prionailurus planiceps,Negative,Negative,NA,no,45.06,5.08,67.28,1,3.53,2,1,NA,NA,NA,NA,NA,1100389.34,1.06,107.09,74.47,24.07,25.03
Ichneumia albicauda,Negative,Negative,polygamous,no,62.15,-18.74,-28.82,1,3.63,1,1,NA,2.35,12.00,754.74,NA,14326821.09,-3.69,21.15,35.94,7.36,23.72
Martes pennanti,Negative,Negative,NA,no,-55.93,-20.48,-0.3,2,3.75,1,1,365,3.02,10.15,413.84,76.76,3481123.82,48.74,-97.45,7.19,5.41,0.93
Nasua nasua,Negative,Negative,polygamous,yes,-50.11,-15.44,-0.2,3,3.78,6,2,365,3.69,17.70,841.82,113.15,10694990.22,-11.55,-58.87,15.03,15.63,23.92
Eira barbara,Negative,Negative,NA,no,-55.93,-20.48,-0.3,2,4.13,2,2,NA,2.14,18.00,766.15,94.46,13411787.9,-4.49,-72.54,28.16,14.99,23.58
Hydrictis maculicollis,Negative,Negative,NA,no,-56.49,-20.95,-0.31,2,4.18,1,2,365,2,NA,841.82,60.48,11363947.46,-8.13,13.37,37.8,10.65,23.77
Cynogale bennettii,Negative,Negative,NA,NA,59.12,-16.56,-24.51,2,4.25,6,2,NA,2.3,5.00,NA,NA,170977.09,1.05,108.08,60.48,23.55,25.44
Paguma larvata,Negative,Negative,NA,no,59.19,-16.6,-24.58,1,4.30,6,1,182.5,2.16,18.00,NA,109.13,5422715.54,15.3,96.38,171.13,14.96,17.61
Vulpes macrotis,Negative,Negative,polygamous,yes,-6.8,84.34,-17.14,NA,4.50,NA,NA,NA,4.5,20.00,NA,NA,1790499.14,32.77,-111.19,13.4,2.42,13.54
Lycalopex gymnocercus,Negative,Negative,monogamous,no,-6.83,85.29,-17.38,1,4.54,7,1,365,3.09,13.70,NA,NA,2321073.61,-26.27,-59.02,22.93,8.53,18.53
Felis silvestris,Negative,Negative,polygamous,no,45.1,5.09,67.42,2,4.57,1,1,148.25,3.59,28.00,350.76,76.01,32110980.01,8.59,47.3,43.43,4.70,19.28
Macrogalidia musschenbroekii,Negative,Negative,NA,no,59.19,-16.6,-24.58,NA,5.15,6,1,NA,NA,NA,NA,NA,22966.97,-0.85,122.28,37.15,22.69,19.71
Ailurus fulgens,Negative,Negative,polygamous,no,-46.13,-12.38,-0.15,2,5.17,3,1,365,1.7,14.00,604.05,136.87,1075406.59,28.38,94.38,51.8,13.19,4.47
Felis bieti,Negative,Negative,polygamous,no,45.1,5.09,67.42,NA,5.49,NA,1,NA,NA,NA,NA,NA,383107.61,37.08,100.3,33.45,3.01,-0.49
Vulpes ferrilata,Negative,Negative,monogamous,yes,-6.83,85.24,-17.37,NA,5.54,1,1,NA,3.49,NA,420.91,55.68,2339623.06,32.4,91.71,29.53,6.08,-3.45
Lutra sumatrana,Negative,Negative,NA,NA,-56.5,-20.96,-0.31,NA,5.97,1,2,NA,NA,NA,NA,NA,1333065.92,2.88,107.22,181.06,22.89,24.92
Speothos venaticus,Negative,Negative,monogamous,yes,-6.82,84.96,-17.3,3,6.32,1,1,247.94,3.8,10.33,344.87,127.3,9703966.13,-7.32,-58.42,20.52,15.15,24.05
Lynx rufus,Negative,Negative,polygamous,no,45.06,5.08,67.25,2,6.37,1,1,365,2.76,32.33,668.22,59.99,9702533.02,37.75,-94.33,30.7,5.37,10.83
Lontra longicaudis,Negative,Negative,polygamous,no,-56.5,-20.96,-0.31,2,6.55,2,3,NA,3.69,NA,NA,NA,12885820.36,-6,-72.98,24.64,14.86,23.51
Puma yagouaroundi,Negative,Negative,polygamous,no,45.04,5.07,67.17,2,6.88,3,1,182.5,2.5,10.65,1052.28,NA,15093388.56,-3.2,-73.75,25.87,13.89,23.35
Procyon cancrivorus,Negative,Negative,polygamous,no,-50.12,-15.44,-0.21,1,6.93,6,2,NA,2.62,14.00,631.37,111.36,12829315.4,-11.16,-59.17,22.53,14.43,23.74
Felis chaus,Negative,Negative,polygamous,no,45.09,5.09,67.39,2,7.16,1,1,130.01,2.94,12.00,383.18,95.49,8986835.66,26.78,68.28,178.67,7.42,20.11
Viverra tangalunga,Negative,Negative,NA,no,59.01,-16.49,-24.37,1,7.35,6,1,NA,1.92,12.00,NA,NA,1304276.8,0.54,107.22,67.69,24.46,24.85
Lontra provocax,Negative,Negative,polygamous,yes,-56.5,-20.96,-0.31,NA,7.50,2,2,NA,NA,NA,NA,NA,804793.49,-47.02,-69.24,3.79,5.35,7.53
